,MAL_TBP.U30.30HFE10AA001XQ01.out,MAL_TBP.U30.30HFE50AA001XQ01.out,MAL_TBP.U30.30CJA10DT109.out,MAL_TBP.U30.30HHY11CR002XQ01.out
109,69.53125,69.46875,35.856658935546875,0.0
110,69.125,69.1875,35.856658935546875,0.0
111,69.09375,68.8125,36.72208786010742,0.0
112,69.5625,69.28125,36.48681640625,0.0
113,69.5625,69.28125,36.700775146484375,0.0
114,69.40625,69.09375,36.700775146484375,0.0
115,70.34375,69.625,37.01033020019531,0.0
116,69.90625,69.6875,37.684635162353516,0.0
117,69.90625,69.59375,38.518314361572266,0.0
118,69.46875,69.34375,39.03871154785156,0.0
119,69.46875,69.34375,38.89170455932617,0.0
120,69.34375,68.6875,39.23114776611328,0.0
121,69.34375,68.6875,38.985145568847656,0.0
122,69.46875,69.0,38.999717712402344,0.0
123,69.46875,69.3125,38.19054412841797,0.0
124,68.96875,68.28125,36.375396728515625,0.0
125,68.84375,68.28125,34.23365020751953,0.0
126,68.84375,68.96875,34.23365020751953,0.0
127,68.625,68.96875,33.48065948486328,0.0
128,68.625,68.4375,31.281991958618164,0.0
129,68.625,68.40625,29.935718536376953,0.0
130,68.625,68.40625,29.64196014404297,0.0
131,69.03125,68.5625,28.725204467773438,0.0
132,69.03125,68.59375,28.728988647460938,0.0
133,69.625,68.75,28.728988647460938,0.0
134,69.625,68.75,27.18340301513672,0.0
135,69.3125,69.125,27.18340301513672,0.0
136,69.0,68.1875,25.948875427246094,0.0
137,68.96875,69.3125,25.706239700317383,0.0
138,68.96875,69.3125,25.706239700317383,0.0
139,69.6875,69.5625,25.8803653717041,0.0
140,69.6875,69.5625,25.640522003173828,0.0
141,69.5,69.0625,25.640522003173828,0.0
142,69.375,69.0625,26.093042373657227,0.0
143,69.34375,69.625,26.093042373657227,0.0
144,69.34375,69.15625,26.912559509277344,0.0
145,69.59375,68.96875,27.315210342407227,0.0
146,68.84375,68.9375,28.313724517822266,0.0
147,68.84375,69.09375,28.82567596435547,0.0
148,69.1875,69.0,28.96908950805664,0.0
149,68.78125,68.90625,28.96908950805664,0.0
150,69.1875,68.90625,29.853784561157227,0.0
151,68.96875,68.96875,30.233232498168945,0.0
152,69.0,68.90625,31.094921112060547,0.0
153,69.0,68.90625,31.410388946533203,0.0
154,68.8125,68.90625,31.52106475830078,0.0
155,69.1875,69.09375,31.619857788085938,0.0
156,69.09375,68.90625,31.56370735168457,0.0
157,69.09375,68.90625,31.282100677490234,0.0
158,69.125,69.0,31.02825355529785,0.0
159,68.78125,68.46875,31.109081268310547,0.0
160,69.28125,69.25,31.109081268310547,0.0
161,69.40625,69.25,31.360422134399414,0.0
162,69.46875,69.125,30.69674301147461,0.0
163,69.25,69.125,30.706890106201172,0.0
164,51.96875,68.96875,30.614673614501953,0.0
165,51.96875,68.96875,30.86654281616211,0.0
166,69.125,68.625,30.86654281616211,0.0
167,69.125,68.96875,31.554170608520508,0.0
168,68.9375,69.125,31.834306716918945,0.0
169,69.21875,69.09375,32.061309814453125,0.0
170,69.21875,69.09375,32.13504409790039,0.0
171,69.3125,68.5625,32.13504409790039,0.0
172,68.78125,68.5625,31.76785659790039,0.0
173,68.5625,68.59375,32.10580825805664,0.0
174,68.5625,68.59375,32.30290985107422,0.0
175,69.03125,68.3125,32.08702087402344,0.0
176,68.46875,68.3125,31.69621467590332,0.0
177,68.65625,68.40625,31.857852935791016,0.0
178,68.53125,68.40625,32.122127532958984,0.0
179,68.53125,68.71875,31.51134490966797,0.0
180,68.8125,68.71875,31.429033279418945,0.0
181,68.3125,68.40625,31.39110565185547,0.0
182,68.71875,68.25,30.568519592285156,0.0
183,68.71875,68.21875,30.568519592285156,0.0
184,68.875,68.8125,31.0715274810791,0.0
185,68.875,68.8125,30.46593475341797,0.0
186,68.78125,68.625,30.47289276123047,0.0
187,68.78125,68.625,29.960968017578125,0.0
188,68.875,68.75,29.88043212890625,0.0
189,68.875,68.75,30.19742202758789,0.0
190,69.03125,68.90625,30.092910766601562,0.0
191,69.0625,68.8125,29.928333282470703,0.0
192,68.5625,68.375,29.791866302490234,0.0
193,68.5625,68.375,29.88396644592285,0.0
194,68.9375,68.65625,29.88396644592285,0.0
195,68.9375,68.65625,29.995187759399414,0.0
196,69.09375,68.5,29.87110137939453,0.0
197,68.875,68.3125,29.53506088256836,0.0
198,68.875,68.65625,29.894596099853516,0.0
199,68.78125,68.65625,29.828754425048828,0.0
200,68.84375,68.53125,29.592500686645508,0.0
201,68.5625,68.53125,29.413257598876953,0.0
202,68.5625,68.40625,29.663013458251953,0.0
203,68.71875,68.40625,29.745498657226562,0.0
204,68.375,68.28125,29.474750518798828,0.0
205,68.65625,68.28125,29.781173706054688,0.0
206,68.65625,68.0625,29.781173706054688,0.0
207,68.75,68.34375,30.1834716796875,0.0
208,68.625,68.34375,30.18607521057129,0.0
209,68.625,68.5625,30.18607521057129,0.0
210,68.625,68.5625,31.02027130126953,0.0
211,68.71875,68.625,30.623903274536133,0.0
212,68.71875,68.5625,30.438480377197266,0.0
213,69.15625,68.96875,30.438480377197266,0.0
214,69.03125,68.96875,30.968576431274414,0.0
215,68.9375,68.8125,30.968576431274414,0.0
216,68.96875,68.8125,31.23868751525879,0.0
217,68.78125,68.40625,31.23868751525879,0.0
218,68.78125,68.6875,31.215839385986328,0.0
219,68.71875,68.65625,31.087020874023438,0.0
220,69.1875,68.65625,30.867578506469727,0.0
221,68.8125,68.65625,30.631057739257812,0.0
222,69.125,68.65625,31.11565589904785,0.0
223,69.15625,69.03125,31.063335418701172,0.0
224,68.75,69.03125,30.74658966064453,0.0
225,68.625,69.0,30.35354232788086,0.0
226,69.0625,69.0,30.649166107177734,0.0
227,69.0625,68.84375,30.72154426574707,0.0
228,68.96875,68.71875,30.66675567626953,0.0
229,68.84375,69.03125,30.66675567626953,0.0
230,69.46875,68.8125,30.69286346435547,0.0
231,69.46875,68.8125,30.3929386138916,0.0
232,69.28125,69.09375,30.19175148010254,0.0
233,69.28125,69.09375,30.364702224731445,0.0
234,69.03125,68.84375,30.514015197753906,0.0
235,69.03125,68.84375,29.929546356201172,0.0
236,68.96875,68.8125,30.224781036376953,0.0
237,68.9375,68.90625,30.428638458251953,0.0
238,68.78125,68.9375,30.180931091308594,0.0
239,68.78125,68.9375,30.41973304748535,0.0
240,68.71875,69.0,29.857858657836914,0.0
241,68.71875,68.9375,29.857858657836914,0.0
242,69.0625,68.90625,30.310495376586914,0.0
243,69.0625,69.09375,29.723726272583008,0.0
244,69.0625,69.09375,29.87834930419922,0.0
245,69.125,69.09375,29.891687393188477,0.0
246,69.125,68.5625,29.260635375976562,0.0
247,69.15625,68.5625,29.908607482910156,0.0
248,69.09375,68.90625,29.699371337890625,0.0
249,69.1875,69.0625,29.756561279296875,0.0
250,69.1875,68.90625,29.74357795715332,0.0
251,69.15625,68.8125,29.228103637695312,0.0
252,68.9375,68.78125,29.228103637695312,0.0
253,68.9375,68.78125,29.79816436767578,0.0
254,68.9375,68.5625,29.441043853759766,0.0
255,69.03125,69.09375,29.71939468383789,0.0
256,69.03125,69.0,29.70977783203125,0.0
257,69.15625,69.46875,29.33446502685547,0.0
258,69.15625,69.46875,29.919662475585938,0.0
259,68.96875,69.15625,29.919662475585938,0.0
260,68.96875,68.875,29.585838317871094,0.0
261,69.34375,69.125,29.585838317871094,0.0
262,68.96875,69.03125,29.96932601928711,0.0
263,69.1875,69.09375,29.96932601928711,0.0
264,69.125,68.9375,30.008424758911133,0.0
265,69.125,68.9375,30.227693557739258,0.0
266,69.5,69.34375,30.001304626464844,0.0
267,69.5,69.34375,30.244075775146484,0.0
268,69.5,69.34375,30.187746047973633,0.0
269,69.5,69.34375,29.773395538330078,0.0
270,69.3125,69.0,30.51312255859375,0.0
271,69.3125,69.0,30.33104133605957,0.0
272,69.40625,69.28125,30.72564697265625,0.0
273,69.375,69.28125,30.28037452697754,0.0
274,68.78125,68.71875,30.28037452697754,0.0
